nation_id,nation_abbrname,nation_name,count
14.0,England,England,2102
21.0,Germany,Germany,1552
45.0,Spain,Spain,1297
18.0,France,France,1296
52.0,Argentina,Argentina,938
27.0,Italy,Italy,915
54.0,Brazil,Brazil,806
56.0,Colombia,Colombia,682
34.0,Holland,Holland,633
163.0,Japan,Japan,560
38.0,Portugal,Portugal,486
46.0,Sweden,Sweden,439
155.0,China PR,China PR,433
37.0,Poland,Poland,431
25.0,Republic of Ireland,Republic of Ireland,430
95.0,United States,United States,411
167.0,Korea Republic,Korea Republic,409
13.0,Denmark,Denmark,407
7.0,Belgium,Belgium,402
55.0,Chile,Chile,402
36.0,Norway,Norway,382
183.0,Saudi Arabia,Saudi Arabia,373
83.0,Mexico,Mexico,369
4.0,Austria,Austria,344
42.0,Scotland,Scotland,331
47.0,Switzerland,Switzerland,295
48.0,Turkey,Turkey,295
195.0,Australia,Australia,276
51.0,Serbia,Serbia,185
60.0,Uruguay,Uruguay,181
10.0,Croatia,Croatia,181
136.0,Senegal,Senegal,181
133.0,Nigeria,Nigeria,161
50.0,Wales,Wales,157
117.0,Ghana,Ghana,134
129.0,Morocco,Morocco,134
108.0,Côte d'Ivoire,Côte d'Ivoire,133
12.0,Czech Republic,Czech Republic,122
97.0,Algeria,Algeria,110
22.0,Greece,Greece,105
49.0,Ukraine,Ukraine,103
40.0,Russia,Russia,97
103.0,Cameroon,Cameroon,95
35.0,Northern Ireland,Northern Ireland,91
8.0,Bosnia and Herzegovina,Bosnia and Herzegovina,91
44.0,Slovenia,Slovenia,78
43.0,Slovakia,Slovakia,73
61.0,Venezuela,Venezuela,69
58.0,Paraguay,Paraguay,66
17.0,Finland,Finland,66
110.0,Congo DR,Congo DR,65
70.0,Canada,Canada,64
126.0,Mali,Mali,59
140.0,South Africa,South Africa,58
39.0,Romania,Romania,56
24.0,Iceland,Iceland,51
198.0,New Zealand,New Zealand,45
219.0,Kosovo,Kosovo,45
72.0,Costa Rica,Costa Rica,40
57.0,Ecuador,Ecuador,39
59.0,Peru,Peru,39
145.0,Tunisia,Tunisia,39
82.0,Jamaica,Jamaica,38
104.0,Cape Verde Islands,Cape Verde Islands,35
1.0,Albania,Albania,35
111.0,Egypt,Egypt,34
118.0,Guinea,Guinea,33
26.0,Israel,Israel,30
15.0,Montenegro,Montenegro,29
20.0,Georgia,Georgia,28
115.0,Gabon,Gabon,26
107.0,Congo,Congo,25
19.0,FYR Macedonia,FYR Macedonia,25
23.0,Hungary,Hungary,21
101.0,Burkina Faso,Burkina Faso,20
161.0,Iran,Iran,20
98.0,Angola,Angola,18
119.0,Guinea-Bissau,Guinea-Bissau,17
87.0,Panama,Panama,17
99.0,Benin,Benin,17
186.0,Syria,Syria,16
144.0,Togo,Togo,16
116.0,Gambia,Gambia,16
148.0,Zimbabwe,Zimbabwe,15
85.0,Curaçao,Curaçao,15
208.0,Estonia,Estonia,15
81.0,Honduras,Honduras,14
11.0,Cyprus,Cyprus,13
120.0,Kenya,Kenya,13
9.0,Bulgaria,Bulgaria,12
3.0,Armenia,Armenia,11
147.0,Zambia,Zambia,11
80.0,Haiti,Haiti,10
124.0,Madagascar,Madagascar,9
207.0,Dominican Republic,Dominican Republic,9
30.0,Lithuania,Lithuania,9
162.0,Iraq,Iraq,8
112.0,Equatorial Guinea,Equatorial Guinea,8
31.0,Luxembourg,Luxembourg,8
188.0,Thailand,Thailand,8
53.0,Bolivia,Bolivia,7
138.0,Sierra Leone,Sierra Leone,7
16.0,Faroe Islands,Faroe Islands,7
93.0,Trinidad and Tobago,Trinidad and Tobago,6
33.0,Moldova,Moldova,6
214.0,Comoros,Comoros,6
146.0,Uganda,Uganda,6
5.0,Azerbaijan,Azerbaijan,6
84.0,Montserrat,Montserrat,6
130.0,Mozambique,Mozambique,6
28.0,Latvia,Latvia,5
63.0,Antigua and Barbuda,Antigua and Barbuda,5
29.0,Liechtenstein,Liechtenstein,5
197.0,Fiji,Fiji,5
68.0,Bermuda,Bermuda,4
141.0,Sudan,Sudan,4
79.0,Guyana,Guyana,4
166.0,Korea DPR,Korea DPR,4
92.0,Suriname,Suriname,4
132.0,Niger,Niger,4
165.0,Kazakhstan,Kazakhstan,4
123.0,Libya,Libya,4
122.0,Liberia,Liberia,4
158.0,Hong Kong,Hong Kong,3
149.0,Afghanistan,Afghanistan,3
6.0,Belarus,Belarus,3
191.0,Uzbekistan,Uzbekistan,3
73.0,Cuba,Cuba,3
89.0,St. Kitts and Nevis,St. Kitts and Nevis,3
143.0,Tanzania,Tanzania,3
76.0,El Salvador,El Salvador,3
102.0,Burundi,Burundi,3
32.0,Malta,Malta,3
131.0,Namibia,Namibia,2
78.0,Guatemala,Guatemala,2
181.0,Philippines,Philippines,2
90.0,St. Lucia,St. Lucia,2
106.0,Chad,Chad,2
190.0,United Arab Emirates,United Arab Emirates,2
135.0,São Tomé e Príncipe,São Tomé e Príncipe,1
218.0,South Sudan,South Sudan,1
215.0,New Caledonia,New Caledonia,1
77.0,Grenada,Grenada,1
67.0,Belize,Belize,1
88.0,Puerto Rico,Puerto Rico,1
66.0,Barbados,Barbados,1
105.0,Central African Republic,Central African Republic,1
134.0,Rwanda,Rwanda,1
157.0,Guam,Guam,1
180.0,Palestine,Palestine,1
178.0,Oman,Oman,1
113.0,Eritrea,Eritrea,1
114.0,Ethiopia,Ethiopia,1
127.0,Mauritania,Mauritania,1
164.0,Jordan,Jordan,1
128.0,Mauritius,Mauritius,1
